country,world_happiness_score,world_happiness_score_scaled,population,PopAge,PopAge_scaled,Internet,Internet_scaled,%PopUnemployed,%PopUnemployed_scaled,GPI,GPI_scaled,Sleep,Sleep_scaled,Workinghours,Workinghours_scaled,Vacationdays,Vacationdays_scaled,Leisure,Leisure_scaled,MentalHealth,MentalHealth_scaled
Afghanistan,2.40,0.31,38000000.00,55.53,0.66,8.26,0.08,11.71,0.40,3.65,1.00,0.00,0.00,0.00,0.00,35.00,0.66,0.00,0.00,17.12,0.88
Albania,5.20,0.67,2900000.00,68.06,0.81,72.24,0.72,13.33,0.46,1.82,0.50,0.00,0.00,0.00,0.00,32.00,0.60,0.00,0.00,11.56,0.60
Algeria,5.12,0.66,41000000.00,62.47,0.74,57.50,0.58,12.55,0.43,2.29,0.63,0.00,0.00,0.00,0.00,41.00,0.77,0.00,0.00,14.78,0.76
Argentina,5.97,0.76,44000000.00,64.20,0.76,74.30,0.74,11.46,0.39,1.97,0.54,0.00,0.00,1692.00,0.69,29.00,0.55,0.00,0.00,13.60,0.70
Armenia,5.40,0.69,3000000.00,67.37,0.80,66.54,0.67,21.21,0.73,2.00,0.55,0.00,0.00,0.00,0.00,36.00,0.68,0.00,0.00,11.38,0.59
Australia,7.16,0.92,25000000.00,64.50,0.77,86.55,0.87,6.46,0.22,1.44,0.39,512.00,0.93,1730.00,0.70,30.00,0.57,281.00,0.76,19.35,1.00
Austria,7.16,0.92,9000000.00,66.38,0.79,87.53,0.88,5.36,0.18,1.26,0.35,498.00,0.90,1613.00,0.66,38.00,0.72,291.00,0.79,15.82,0.82
Azerbaijan,5.17,0.66,10000000.00,69.74,0.83,81.10,0.81,6.46,0.22,2.21,0.61,0.00,0.00,0.00,0.00,40.00,0.75,0.00,0.00,10.42,0.54
Bahrain,6.65,0.85,1700000.00,79.07,0.94,99.54,1.00,1.78,0.06,2.15,0.59,0.00,0.00,0.00,0.00,44.00,0.83,0.00,0.00,14.57,0.75
Bangladesh,5.16,0.66,165000000.00,68.02,0.81,12.90,0.13,5.41,0.19,2.10,0.58,0.00,0.00,2232.00,0.91,21.00,0.40,0.00,0.00,11.80,0.61
Belarus,5.82,0.74,10000000.00,67.18,0.80,85.09,0.85,4.77,0.16,2.10,0.58,0.00,0.00,0.00,0.00,33.00,0.62,0.00,0.00,12.57,0.65
Belgium,6.81,0.87,11000000.00,63.71,0.76,91.52,0.92,5.55,0.19,1.49,0.41,513.00,0.93,1544.00,0.63,30.00,0.57,339.00,0.92,14.97,0.77
Benin,4.62,0.59,11000000.00,54.78,0.65,29.00,0.29,1.58,0.05,2.16,0.59,0.00,0.00,0.00,0.00,37.00,0.70,0.00,0.00,11.85,0.61
Bolivia,5.60,0.72,11000000.00,62.31,0.74,55.14,0.55,7.90,0.27,2.10,0.58,0.00,0.00,0.00,0.00,33.00,0.62,0.00,0.00,15.06,0.78
Bosnia and Herzegovina,5.77,0.74,3900000.00,67.56,0.81,73.21,0.73,15.27,0.52,1.98,0.54,0.00,0.00,0.00,0.00,35.00,0.66,0.00,0.00,11.51,0.60
Botswana,3.47,0.44,2200000.00,62.08,0.74,61.00,0.61,24.93,0.85,1.77,0.49,0.00,0.00,0.00,0.00,29.00,0.55,0.00,0.00,11.87,0.61
Brazil,6.29,0.81,209000000.00,69.70,0.83,73.91,0.74,13.69,0.47,2.41,0.66,0.00,0.00,1709.00,0.70,28.00,0.53,0.00,0.00,16.72,0.86
